Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AAL,"American Airlines Gp",15.66,-0.23,-1.45%,16.04,16.04,15.53,31048900,12/24/20
ALK,"Alaska Air Group",52.25,0.41,+0.79%,52.25,52.56,51.12,814700,12/24/20
ALLE,"Allegion Plc",113.03,0.27,+0.24%,113.04,113.22,112.15,138800,12/24/20
AME,"Amtek Inc",119.04,0.42,+0.35%,118.64,119.32,118,188400,12/24/20
AOS,"Smith A.O. Corp",55.48,0.37,+0.67%,55.49,55.5,54.84,214900,12/24/20
BA,"Boeing Company",217.15,-2.54,-1.16%,219.62,219.88,216.05,6398500,12/24/20
CARR,"Carrier Global Corp [Carr/I]",37.89,-0.27,-0.71%,37.91,38.24,37.85,1395100,12/24/20
CAT,"Caterpillar Inc",179.56,1.14,+0.64%,179.45,179.85,178.35,585700,12/24/20
CHRW,"C.H. Robinson Ww",94.66,0.87,+0.93%,94.72,95,93.92,405800,12/24/20
CMI,"Cummins Inc",226.53,2.31,+1.03%,225.29,226.7,224.04,197300,12/24/20
CPRT,"Copart Inc",123.71,0.36,+0.29%,123.56,124.04,122.7,291300,12/24/20
CSX,"CSX Corp",90.05,0.38,+0.42%,89.79,90.22,89.15,876300,12/24/20
CTAS,"Cintas Corp",338.4,-1.02,-0.30%,341.11,342.25,336.4,185500,12/24/20
DAL,"Delta Air Lines Inc",39.73,-0.51,-1.27%,40.42,40.44,39.6,5176400,12/24/20
DE,"Deere & Company",269.21,1.27,+0.47%,267.93,269.58,267.32,289900,12/24/20
DOV,"Dover Corp",124.02,0.38,+0.31%,123.72,124.07,122.69,178200,12/24/20
EFX,"Equifax Inc",193.96,1.09,+0.57%,193.41,194.48,193.04,153100,12/24/20
EMR,"Emerson Electric Company",79.98,-0.04,-0.05%,80.49,80.49,79.54,456500,12/24/20
ETN,"Eaton Corp",118.07,1.05,+0.90%,117.2,118.07,116.01,362200,12/24/20
EXPD,"Expeditors Intl",94.64,0.13,+0.14%,94.8,95.11,94.22,191000,12/24/20
FAST,"Fastenal Company",49.52,0.43,+0.88%,49.37,49.52,49.15,704400,12/24/20
FBHS,"Fortune Brands Home & Security",89.07,1.3,+1.48%,88.04,89.11,87.58,179900,12/24/20
FDX,"Fedex Corp",268.82,-1.89,-0.70%,271.36,272.03,267.19,1649300,12/24/20
FLS,"Flowserve Corp",36.68,-0.07,-0.19%,36.83,36.84,36.31,148000,12/24/20
FTV,"Fortive Corp",69.64,0.29,+0.42%,69.81,69.83,68.9,412000,12/24/20
GD,"General Dynamics Corp",149.01,0.86,+0.58%,148.34,149.15,147.6,447400,12/24/20
GE,"General Electric Company",10.65,-0.21,-1.93%,10.85,10.85,10.62,30049600,12/24/20
GWW,"W.W. Grainger",415.57,4.91,+1.20%,410.37,416.04,410.37,152800,12/24/20
HII,"Huntington Ingalls Industries",165.4,-1.15,-0.69%,166.6,166.6,163.88,94600,12/24/20
HON,"Honeywell International Inc",209.53,-0.46,-0.22%,210.53,210.7,208.6,754900,12/24/20
HWM,"Howmet Aerospace Inc",27.38,-0.39,-1.40%,27.76,27.82,27.11,878500,12/24/20
IEX,"Idex Corp",196.56,1.75,+0.90%,194.9,196.56,192.88,152800,12/24/20
INFO,"IHS Markit Ltd",86.37,0.77,+0.90%,85.52,86.58,85.52,1775600,12/24/20
IR,"Ingersoll Rand Inc",46.03,0.27,+0.59%,45.78,46.04,45.19,609700,12/24/20
ITW,"Illinois Tool Works Inc",202.44,0.46,+0.23%,202.18,202.97,201.07,309000,12/24/20
J,"Jacobs Engineering Group Inc",107.28,0.43,+0.40%,106.84,107.33,106.56,144500,12/24/20
JBHT,"J B Hunt Transport",137.42,-1.02,-0.74%,138.11,138.65,136.72,245200,12/24/20
JCI,"Johnson Controls Intl",45.93,0.01,+0.02%,46.2,46.2,45.67,842500,12/24/20
KSU,"Kansas City Southern",199.73,0.51,+0.26%,199.22,200.27,197.05,385700,12/24/20
LHX,"L3Harris Technologies Inc",185.16,-0.69,-0.37%,186,186.61,184.46,281700,12/24/20
LMT,"Lockheed Martin Corp",351.97,0.37,+0.11%,352.83,354.06,350.4,508700,12/24/20
LUV,"Southwest Airlines Company",46.28,-0.47,-1.01%,47,47.09,45.81,2973400,12/24/20
MAS,"Masco Corp",56.79,0.56,+1.00%,56.61,56.83,56.23,674600,12/24/20
MMM,"3M Company",174.52,0.53,+0.30%,174.42,174.79,173.42,656100,12/24/20
NLSN,"Nielsen Holdings Plc",20.32,0.09,+0.44%,20.37,20.4,20.23,993800,12/24/20
NOC,"Northrop Grumman Corp",299.6,-1.06,-0.35%,300.59,301.08,296.93,332600,12/24/20
NSC,"Norfolk Southern Corp",234.39,1.27,+0.54%,233.22,234.93,231.63,383000,12/24/20
ODFL,"Old Dominion Freight Line Inc",198.25,1.42,+0.72%,196.87,199,196.55,146800,12/24/20
OTIS,"Otis Worldwide Corp [Otis/I]",65.79,0.16,+0.24%,65.45,65.98,65.29,992000,12/24/20
PCAR,"Paccar Inc",86.11,1.02,+1.20%,85.4,86.2,85,372900,12/24/20
PH,"Parker-Hannifin Corp",269.45,0.05,+0.02%,269.1,271.08,267.33,139800,12/24/20
PNR,"Pentair Ltd",52.59,0.15,+0.29%,52.73,52.84,52.1,187200,12/24/20
PWR,"Quanta Services",70.93,0.12,+0.17%,71.05,71.18,70.39,243800,12/24/20
RHI,"Robert Half International Inc",62.21,-0.06,-0.10%,62.46,62.46,61.66,178300,12/24/20
ROK,"Rockwell Automation Inc",248.63,0.6,+0.24%,248.56,249.08,247.21,131800,12/24/20
ROL,"Rollins Inc",40.05,0.21,+0.53%,40.01,40.41,39.84,412000,12/24/20
ROP,"Roper Industries",420.12,0.66,+0.16%,419.84,423.67,416.27,119700,12/24/20
RSG,"Republic Services",95.63,0.62,+0.65%,94.96,95.72,94.91,307100,12/24/20
RTX,"Raytheon Technologies Corp",70.27,-0.45,-0.64%,70.95,70.95,69.89,1758600,12/24/20
SNA,"Snap-On Inc",169.77,1.93,+1.15%,169.45,169.9,167.65,106400,12/24/20
SWK,"Stanley Black & Decker Inc",179.92,2.02,+1.14%,178.64,180.17,177.53,243100,12/24/20
TDG,"Transdigm Group Inc",606.71,-5.19,-0.85%,609.07,610.75,602.4,47700,12/24/20
TDY,"Teledyne Technologies Inc",383.48,-2.32,-0.60%,384.27,385.26,380.1,23000,12/24/20
TT,"Trane Technologies Plc",143.66,1.16,+0.81%,142.96,144.32,142.96,292000,12/24/20
TXT,"Textron Inc",48.07,-0.24,-0.50%,48.44,48.5,47.87,197400,12/24/20
UAL,"United Airlines Holdings Inc",43.26,-0.85,-1.93%,44.4,44.42,43.01,7230600,12/24/20
UNP,"Union Pacific Corp",203.39,2.22,+1.10%,201.26,203.85,200.48,691700,12/24/20
UPS,"United Parcel Service",172.19,-0.45,-0.26%,173.01,173.35,171.47,1006000,12/24/20
URI,"United Rentals",232.62,1.69,+0.73%,230.67,233.15,228.95,213200,12/24/20
VRSK,"Verisk Analytics Inc",201.23,1.26,+0.63%,200.3,201.78,199.95,145000,12/24/20
WAB,"Wabtec Corp",73.31,0.45,+0.62%,73.3,73.42,72.13,218100,12/24/20
WM,"Waste Management",117,0.75,+0.65%,116.46,117.02,116.21,466000,12/24/20
XYL,"Xylem Inc",100.25,0.52,+0.52%,100.31,100.48,99.31,249700,12/24/20
